actionName,timestamp,userEmail
LOGIN,2026-06-12T18:46:01,patient@axismed.com
VIEW_PATIENT_HISTORY,2026-06-12T18:46:13,patient@axismed.com
LOGOUT,2026-06-12T18:47:07,patient@axismed.com
LOGIN,2026-06-12T18:47:30,doctor@axismed.com
VIEW_STAFF_APPOINTMENTS,2026-06-12T18:47:46,doctor@axismed.com
RECORD_DIAGNOSIS,2026-06-12T18:48:26,doctor@axismed.com
CREATE_TREATMENT_PLAN,2026-06-12T18:48:43,doctor@axismed.com
ADD_REHAB_PROTOCOL,2026-06-12T19:02:33,doctor@axismed.com
LOGOUT,2026-06-12T19:02:35,doctor@axismed.com
LOGIN,2026-06-12T19:05:40,patient@axismed.com
VIEW_PATIENT_HISTORY,2026-06-12T19:05:50,patient@axismed.com
LOGOUT,2026-06-12T19:06:01,patient@axismed.com
LOGIN,2026-06-12T19:06:34,doctor@axismed.com
VIEW_STAFF_APPOINTMENTS,2026-06-12T19:06:39,doctor@axismed.com
RECORD_DIAGNOSIS,2026-06-12T19:07:03,doctor@axismed.com
RECORD_DIAGNOSIS,2026-06-12T19:07:51,doctor@axismed.com
CREATE_TREATMENT_PLAN,2026-06-12T19:08:29,doctor@axismed.com
ADD_REHAB_PROTOCOL,2026-06-12T19:10:01,doctor@axismed.com
PRESCRIBE_MEDICATION,2026-06-12T19:10:54,doctor@axismed.com
RECORD_FUNCTIONAL_TEST,2026-06-12T19:11:43,doctor@axismed.com
RECORD_CLEARANCE_TEST,2026-06-12T19:12:39,doctor@axismed.com
VIEW_PATIENT_HISTORY,2026-06-12T19:13:15,doctor@axismed.com
TRACK_TREATMENT_PROGRESS,2026-06-12T19:13:40,doctor@axismed.com
LOGOUT,2026-06-12T19:13:59,doctor@axismed.com
LOGIN,2026-06-12T19:14:09,delegate@axismed.com
REGISTER_ATHLETE,2026-06-12T19:15:01,delegate@axismed.com
LINK_ATHLETE_TO_EVENT,2026-06-12T19:16:21,delegate@axismed.com
LOGOUT,2026-06-12T19:16:57,delegate@axismed.com
LOGIN,2026-06-12T19:17:09,admin@axismed.com
REGISTER_PATIENT,2026-06-12T19:18:21,admin@axismed.com
REGISTER_STAFF,2026-06-12T19:19:24,admin@axismed.com
SCHEDULE_APPOINTMENT,2026-06-12T19:20:49,admin@axismed.com
REGISTER_SPORTING_EVENT,2026-06-12T19:22:09,admin@axismed.com
SEARCH_PATIENTS,2026-06-12T19:22:22,admin@axismed.com
GENERATE_PERFORMANCE_REPORT,2026-06-12T19:22:33,admin@axismed.com
LOGOUT,2026-06-12T19:24:21,admin@axismed.com
LOGIN,2026-06-13T15:00:31,doctor@axismed.com
RECORD_FUNCTIONAL_TEST,2026-06-13T15:03:12,doctor@axismed.com
RECORD_CLEARANCE_TEST,2026-06-13T15:03:55,doctor@axismed.com
LOGOUT,2026-06-13T15:04:05,doctor@axismed.com
LOGIN,2026-06-13T15:04:17,delegate@axismed.com
REGISTER_ATHLETE,2026-06-13T15:05:21,delegate@axismed.com
LOGOUT,2026-06-13T15:05:33,delegate@axismed.com
LOGIN,2026-06-13T15:05:43,admin@axismed.com
REGISTER_PATIENT,2026-06-13T15:06:53,admin@axismed.com
SEARCH_PATIENTS,2026-06-13T15:08:27,admin@axismed.com
LOGOUT,2026-06-13T15:08:56,admin@axismed.com
LOGIN,2026-06-13T15:09:08,delegate@axismed.com
LINK_ATHLETE_TO_EVENT,2026-06-13T15:09:46,delegate@axismed.com
LOGOUT,2026-06-13T15:10:03,delegate@axismed.com
LOGIN,2026-06-13T15:10:15,admin@axismed.com
